hut_name,fetch_datetime,booking_date,num_available,rooms
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-22,4,{4: 1}
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-23,0,{}
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-24,3,{3: 1}
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-25,3,{3: 1}
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-26,6,{3: 2}
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-27,3,{3: 1}
Rifugio Lavarella,2024-08-31 09:33:14.558432,2024-09-28,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-10,3,{'Dormitories with bunk beds': 3}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-11,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-12,1,{'Dormitories with bunk beds': 1}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-13,1,{'Dormitories with bunk beds': 1}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-14,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-15,6,{'Dormitories with bunk beds': 6}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-16,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-17,3,{'Dormitories with bunk beds': 3}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-18,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-19,2,"{'Triple room': 1, 'Quadruple room with 1 pull down wall bed': 1}"
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-20,2,"{'Triple room': 1, 'Quadruple room with 1 pull down wall bed': 1}"
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-21,2,{'Twin room with balcony': 2}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-22,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-23,2,{'Dormitories with bunk beds': 2}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-24,4,"{'Twin room with balcony': 3, 'Dormitories with bunk beds': 1}"
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-25,2,{'Dormitories with bunk beds': 2}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-26,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-27,0,{}
Rifugio Lagazuòi,2024-08-31 09:33:14.558432,2024-09-28,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-10,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-11,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-12,4,{'Dormitory': 4}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-13,4,{'Dormitory': 4}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-14,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-15,2,{'Dormitory': 2}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-16,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-17,8,{'Dormitory': 8}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-18,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-19,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-20,5,{'Dormitory': 5}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-21,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-22,0,{}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-23,8,{'Dormitory': 8}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-24,5,{'Dormitory': 5}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-25,8,{'Dormitory': 8}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-26,3,{'Dormitory': 3}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-27,8,{'Dormitory': 8}
Rifugio Croda da Lago / Palmieri,2024-08-31 09:33:14.558432,2024-09-28,8,{'Dormitory': 8}
